0	0	0	0	0	0
256	0	0	209	8	3
512	0	0	411	16	7
768	0	0	615	24	11
1024	0	0	820	33	14
1280	0	0	1028	40	18
1536	0	0	1239	49	21
1792	0	0	1443	57	25
2048	0	0	1647	65	29
2303	0	0	1853	73	32
2559	0	0	2060	82	36
2815	0	0	2265	89	39
3071	0	0	2482	98	42
3327	0	0	2692	106	46
3583	0	0	2900	114	49
3839	0	0	3101	122	53
4095	0	0	3298	130	57
0	256	0	47	240	16
256	256	0	254	246	19
512	256	0	456	253	22
768	256	0	660	261	26
1024	256	0	867	268	29
1280	256	0	1075	277	32
1536	256	0	1286	285	36
1792	256	0	1488	293	40
2048	256	0	1693	300	44
2303	256	0	1899	309	47
2559	256	0	2105	316	50
2815	256	0	2313	324	54
3071	256	0	2529	332	57
3327	256	0	2740	340	60
3583	256	0	2946	348	64
3839	256	0	3144	356	67
4095	256	0	3344	363	71
0	512	0	96	470	31
256	512	0	301	477	33
512	512	0	503	483	37
768	512	0	709	491	41
1024	512	0	915	499	45
1280	512	0	1124	507	48
1536	512	0	1333	516	51
1792	512	0	1536	523	55
2048	512	0	1741	531	58
2303	512	0	1947	539	61
2559	512	0	2153	547	65
2815	512	0	2363	554	68
3071	512	0	2578	562	72
3327	512	0	2787	570	75
3583	512	0	2993	579	78
3839	512	0	3188	586	82
4095	512	0	3394	594	85
0	768	0	143	701	47
256	768	0	348	707	49
512	768	0	550	715	52
768	768	0	756	723	56
1024	768	0	963	730	59
1280	768	0	1173	739	62
1536	768	0	1380	747	66
1792	768	0	1583	755	70
2048	768	0	1789	763	73
2303	768	0	1994	771	77
2559	768	0	2199	778	80
2815	768	0	2413	786	84
3071	768	0	2625	794	87
3327	768	0	2834	803	90
3583	768	0	3039	810	94
3839	768	0	3232	818	97
4095	768	0	3441	825	101
0	1024	0	191	933	62
256	1024	0	394	941	65
512	1024	0	598	948	68
768	1024	0	803	956	71
1024	1024	0	1010	964	75
1280	1024	0	1221	972	78
